"Id","UserId","Description","Date","IsRead","NotificationType","Misc","IsDeleted"
"E4066C49-D456-49F6-A061-A0CAE428A780","DA6AC379-A8D7-4507-8182-08DAFF1D643C","Project SB Yab Co LLC-General has been created by Anthony","2023-01-30 22:51:31.143176","False","4","{""Module"":0,""ModuleId"":""02551bc4-ca63-4be4-a6ff-b2c88f245aaf"",""SubModuleId"":null,""Type"":null}","False"
"C40B124D-CDA8-459E-8471-A10080E1ED47","6FF70A9C-83D2-4E93-8187-08DAFF1D643C","Project SB Yab Co LLC-General has been created by Anthony","2023-01-30 22:51:31.143176","False","4","{""Module"":0,""ModuleId"":""02551bc4-ca63-4be4-a6ff-b2c88f245aaf"",""SubModuleId"":null,""Type"":null}","False"
"FC43CB72-CDD0-4380-B928-A56E97AD9BF5","487F4A47-9CCF-42BB-D85B-08DAF8A9D2B6","Project SB Yab Co LLC-General has been created by Anthony","2023-01-30 22:51:31.143175","True","4","{""Module"":0,""ModuleId"":""02551bc4-ca63-4be4-a6ff-b2c88f245aaf"",""SubModuleId"":null,""Type"":null}","False"
"8C151D62-B983-42F5-BC98-A8EEB74F517A","50A482D2-A62E-4DDD-8181-08DAFF1D643C","Project Lloyd Jennings-General has been created by Anthony","2023-01-30 23:45:48.075182","False","4","{""Module"":0,""ModuleId"":""1b892db3-4fa5-4221-861c-45dbd43b2388"",""SubModuleId"":null,""Type"":null}","False"
"F5977054-9092-453F-94B4-AFBA6C5DDA96","D401284E-B5D9-4C6D-9FA7-08DAF288810D","Project SB Yab Co LLC-General has been created by Anthony","2023-01-30 22:51:31.143174","False","4","{""Module"":0,""ModuleId"":""02551bc4-ca63-4be4-a6ff-b2c88f245aaf"",""SubModuleId"":null,""Type"":null}","False"
"D0D7F28D-C866-4C0E-906C-B34F9A6C5E08","A753707C-58AB-43A4-D85E-08DAF8A9D2B6","Project Business Transfer  J&J Estates, LLC has been created by Joshua","2023-01-31 18:14:03.515421","False","4","{""Module"":0,""ModuleId"":""f31c5ac3-21c4-4d8c-b999-6bbb363b3083"",""SubModuleId"":null,""Type"":null}","False"
"71EA28DF-FE82-415C-81BA-B489AB93320E","6FF70A9C-83D2-4E93-8187-08DAFF1D643C","Project Lloyd Jennings-General has been created by Anthony","2023-01-30 23:45:48.075187","False","4","{""Module"":0,""ModuleId"":""1b892db3-4fa5-4221-861c-45dbd43b2388"",""SubModuleId"":null,""Type"":null}","False"
"52D34B2E-6F78-4FEB-AD11-B5DAEF8F3449","DA6AC379-A8D7-4507-8182-08DAFF1D643C","Project Scalability - Catalyst-General has been created by Amber","2023-01-27 16:53:49.829394","True","4","{""Module"":0,""ModuleId"":""2db392ca-6086-4a66-9f9c-cce07feebcd7"",""SubModuleId"":null,""Type"":null}","False"
"07CE80AD-1BF6-4A9C-9A6B-BDFC489D07C4","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Project OFS Rebate Program has been created by Joshua","2023-02-03 21:35:51.556556","False","4","{""Module"":0,""ModuleId"":""e7f1918a-559c-4d8a-b622-601125f68cca"",""SubModuleId"":null,""Type"":null}","False"
"F54117CE-0E2E-4296-9F2F-BE48B1667ACD","487F4A47-9CCF-42BB-D85B-08DAF8A9D2B6","Project SLC Psych Lease Review has been created by Joshua","2023-01-31 18:17:38.843835","True","4","{""Module"":0,""ModuleId"":""c0f3a67a-fb91-43ee-935a-6e1103bc8195"",""SubModuleId"":null,""Type"":null}","False"
