"EngagementId","UserId","EngagementDisabled","Id","BillRateId","CreateDate","UpdateDate","EffectiveDate"
"1CB9CEE1-5904-48A5-1814-08DB15BD3991","AB995316-AC5B-4F93-3F22-08DB008453BF","False","25CDA517-2BC4-4480-8B48-54563EF68117","9444DC1A-256C-44C3-CAE4-08DB15BD9DB5","2023-02-23 20:48:05.539832","2023-02-23 20:48:05.539833",""
"BD3D3005-0152-4868-E3E7-08DB1AB78737","AB995316-AC5B-4F93-3F22-08DB008453BF","False","3BFF6026-EF54-4976-9A33-54A48BE0B58C","B62CBDAA-2EC0-4ADF-4822-08DB1AB59309","2023-03-02 00:47:07.672844","2023-03-02 00:47:07.672845",""
"CF23E036-061D-4C01-87FA-08DB31424D3E","AB995316-AC5B-4F93-3F22-08DB008453BF","False","50F7E1E3-3B8C-44EA-8A14-56FFDB436F04","5E3201C8-D9D4-4E36-1BF8-08DB3139A4E6","2023-03-30 17:36:05.712075","2023-03-30 17:36:05.712075",""
"6E245FFC-C7DD-4415-0151-08DB3D4AB7BE","AB995316-AC5B-4F93-3F22-08DB008453BF","False","EB0985E4-F17F-4AF5-AA82-57A3ADECB831","A75BB92C-B83D-412E-BB05-08DB3D366DDF","2023-04-15 00:46:35.861608","2023-04-15 00:46:35.861608",""
"86C83CA3-3BEC-4FA3-6C6A-08DB2EE8BD46","AB995316-AC5B-4F93-3F22-08DB008453BF","False","9CF10DEE-9A0C-43BF-95EC-5820CB096330","","0001-01-01 00:00:00","0001-01-01 00:00:00",""
"A8F1734B-489B-40EC-1813-08DB15BD3991","AB995316-AC5B-4F93-3F22-08DB008453BF","False","8B89B592-2F6F-46DF-A0E4-5888FDC2B400","7D0F27C2-E078-49F7-CAD7-08DB15BD9DB5","2023-02-23 20:37:43.818884","2023-02-23 20:37:43.818885",""
"76DD98A4-E61A-4EEE-2DA0-08DB1A80A9F0","AB995316-AC5B-4F93-3F22-08DB008453BF","False","24A596FB-35D3-4DE5-9EFE-598B5715E6D9","465FA95B-7AC0-4BD9-0578-08DB1A74BA3C","2023-03-01 19:02:24.082283","2023-03-01 19:02:24.082284",""
"86C83CA3-3BEC-4FA3-6C6A-08DB2EE8BD46","AB995316-AC5B-4F93-3F22-08DB008453BF","False","E8101739-1EAA-4542-AAEA-5B05B9E5D409","613C09D8-2FE6-420B-2A32-08DB2EE3B6A1","2023-03-27 17:31:17.173065","2023-03-27 17:31:17.173066",""
"AB2529F2-7E04-4116-C950-08DB0317A5BD","AB995316-AC5B-4F93-3F22-08DB008453BF","False","D64D85E6-552F-4A02-84C5-5B3C695A78D2","9470D589-D580-44F3-47A0-08DB0317C6FF","2023-01-30 23:48:22.503814","2023-01-30 23:48:22.503815",""
"DC2DF1A1-B0AA-47F7-C5F8-08DB00840455","AB995316-AC5B-4F93-3F22-08DB008453BF","False","1CA01C0C-1C60-4174-8069-5C6ED255F625","","0001-01-01 00:00:00","0001-01-01 00:00:00",""
"86C83CA3-3BEC-4FA3-6C6A-08DB2EE8BD46","AB995316-AC5B-4F93-3F22-08DB008453BF","False","A3FC7DC9-554B-4BFB-BB3F-5E6C16198DFE","4CDBCD8E-99FA-47BD-2A30-08DB2EE3B6A1","2023-03-27 17:30:32.329305","2023-03-27 17:30:32.329306",""
"BD3D3005-0152-4868-E3E7-08DB1AB78737","AB995316-AC5B-4F93-3F22-08DB008453BF","False","15FEAD0C-326C-4449-9D3C-5EBDEC105FE6","","0001-01-01 00:00:00","0001-01-01 00:00:00",""
"3FAC7E34-F082-4839-813F-08DB1065B39C","AB995316-AC5B-4F93-3F22-08DB008453BF","False","7D467436-253D-4B4D-9C23-5F9E64F2F1E7","706AA4B6-07B4-47A6-9914-08DB10625C01","2023-02-16 21:36:53.056773","2023-02-16 21:36:53.056775",""
"C866C599-984B-488A-9541-08DB0AD09684","AB995316-AC5B-4F93-3F22-08DB008453BF","False","5437B445-C3B5-46EE-A533-5FAAFCAF0797","B930FDB5-F81F-4EE9-53E4-08DB0AD0A5A8","2023-02-09 22:32:50.390926","2023-02-09 22:32:50.390926",""
"58CAC6EF-B24A-4247-5E41-08DB2F1F530D","AB995316-AC5B-4F93-3F22-08DB008453BF","False","DCAA44BA-D3E9-42BF-81EE-60005BF11E27","9E6B91CA-E554-44B7-7179-08DB2F1A3DB2","2023-03-28 00:21:09.339497","2023-03-28 00:21:09.339498",""
"903368F3-BE83-4304-3998-08DB1131D472","AB995316-AC5B-4F93-3F22-08DB008453BF","False","6BE42EF7-1568-41D6-AAF8-60F0C4AF21D8","2771AE35-24E1-4F3B-BF06-08DB112E7B1F","2023-02-17 21:57:24.803985","2023-02-17 21:57:24.803987",""
"3FAC7E34-F082-4839-813F-08DB1065B39C","AB995316-AC5B-4F93-3F22-08DB008453BF","False","3EA966B5-7E51-467D-9ED6-62350DB97CA7","69E17686-C41D-454E-9916-08DB10625C01","2023-02-16 21:37:29.572146","2023-02-16 21:37:29.572147",""
"04F2462F-D5E3-4FD9-8141-08DB1065B39C","AB995316-AC5B-4F93-3F22-08DB008453BF","False","52A63ABC-4403-4770-8FA8-625B1823984E","73849677-21CB-4E98-9924-08DB10625C01","2023-02-16 22:23:27.767370","2023-02-16 22:23:27.767371",""
"F823F86C-4BDE-44C3-180F-08DB15BD3991","AB995316-AC5B-4F93-3F22-08DB008453BF","False","A373C6B0-BC7C-4460-91FA-64788AB302DD","46C94F2C-F162-4506-CACA-08DB15BD9DB5","2023-02-23 19:51:59.760766","2023-02-23 19:51:59.760768",""
"6E245FFC-C7DD-4415-0151-08DB3D4AB7BE","AB995316-AC5B-4F93-3F22-08DB008453BF","False","A4729FDA-045E-43DA-9B82-64D5885E15ED","","0001-01-01 00:00:00","0001-01-01 00:00:00",""
"FC946E98-8071-4094-AD06-08DB36C371D9","AB995316-AC5B-4F93-3F22-08DB008453BF","False","B262D0CC-933A-4DF8-8F6B-64F70A580419","FDD84B9C-8E2E-4A33-3812-08DB36C37F78","2023-04-06 18:11:00.038556","2023-04-06 18:11:00.038557",""
"FC946E98-8071-4094-AD06-08DB36C371D9","AB995316-AC5B-4F93-3F22-08DB008453BF","False","AA68F7B9-213D-497F-AC79-6604DBEF6D28","1482B957-8872-4765-3810-08DB36C37F78","2023-04-06 17:55:40.597724","2023-04-06 17:55:40.597726",""
